timestamp,coin,price,change_24h
2025-04-16 23:41:24,bitcoin,84160.0,0.57694
2025-04-16 23:41:24,ethereum,1575.98,-1.1384
2025-04-16 23:41:24,tether,1.0,0.0031
2025-04-17 00:41:27,bitcoin,84114.0,0.84848
2025-04-17 00:41:27,ethereum,1583.67,-0.24641
2025-04-17 00:41:27,tether,1.0,0.0136
2025-04-18 00:41:06,bitcoin,84884.0,0.90786
2025-04-18 00:41:06,ethereum,1582.25,-0.08968
2025-04-18 00:41:06,tether,1.0,0.00028
2025-04-19 00:39:38,bitcoin,84396.0,-0.56832
2025-04-19 00:39:38,ethereum,1588.27,0.39576
2025-04-19 00:39:38,tether,0.999916,-0.00942
2025-04-20 00:45:20,bitcoin,85140.0,0.85588
2025-04-20 00:45:20,ethereum,1610.6,1.38899
2025-04-20 00:45:20,tether,0.999885,-0.00297
2025-04-21 00:44:45,bitcoin,86475.0,1.57196
2025-04-21 00:44:45,ethereum,1611.2,0.04731
2025-04-21 00:44:45,tether,0.999857,-0.00278
2025-04-22 00:42:20,bitcoin,87357.0,1.18966
2025-04-22 00:42:20,ethereum,1560.01,-3.21365
2025-04-22 00:42:20,tether,1.0,0.02037
2025-04-23 00:41:49,bitcoin,93291.0,6.78112
2025-04-23 00:41:50,ethereum,1753.31,12.42641
2025-04-23 00:41:50,tether,1.001,0.04441
2025-04-24 00:41:52,bitcoin,93489.0,0.21441
2025-04-24 00:41:53,ethereum,1790.83,2.23699
2025-04-24 00:41:53,tether,1.0,-0.0087
2025-04-25 00:42:23,bitcoin,93848.0,0.37969
2025-04-25 00:42:23,ethereum,1774.23,-0.98811
2025-04-25 00:42:23,tether,1.0,-0.00215
2025-04-26 00:41:02,bitcoin,94727.0,0.93293
2025-04-26 00:41:02,ethereum,1790.35,0.91287
2025-04-26 00:41:02,tether,1.001,0.02171
2025-04-27 00:45:25,bitcoin,94914.0,0.24664
2025-04-27 00:45:25,ethereum,1843.89,2.83877
2025-04-27 00:45:25,tether,1.0,-0.03084
2025-04-28 00:44:12,bitcoin,93659.0,-1.34008
2025-04-28 00:44:12,ethereum,1779.9,-3.52015
2025-04-28 00:44:12,tether,1.0,0.00203
2025-04-29 00:42:18,bitcoin,95075.0,1.52785
2025-04-29 00:42:18,ethereum,1802.5,1.24244
2025-04-29 00:42:20,tether,1.0,-0.01079
2025-04-30 00:42:48,bitcoin,94584.0,-0.5163
2025-04-30 00:42:48,ethereum,1807.88,0.29134
2025-04-30 00:42:48,tether,1.0,0.00454
2025-05-01 00:48:34,bitcoin,94298.0,-0.22193
2025-05-01 00:48:34,ethereum,1795.87,-0.57393
2025-05-01 00:48:34,tether,1.0,-0.01496
2025-05-02 00:42:47,bitcoin,96801.0,2.66617
2025-05-02 00:42:47,ethereum,1843.37,2.6619
2025-05-02 00:42:47,tether,1.0,0.0141
2025-05-03 00:41:36,bitcoin,96809.0,0.00822
2025-05-03 00:41:36,ethereum,1841.17,-0.12828
2025-05-03 00:41:36,tether,1.0,0.01699
2025-05-04 00:48:20,bitcoin,95867.0,-0.89333
2025-05-04 00:48:20,ethereum,1834.17,-0.28784
2025-05-04 00:48:20,tether,1.0,-0.02001
2025-05-05 00:45:51,bitcoin,94719.0,-1.1822
2025-05-05 00:45:51,ethereum,1815.11,-1.03676
2025-05-05 00:45:51,tether,1.0,-0.01408
2025-05-06 00:43:05,bitcoin,94510.0,-0.20499
2025-05-06 00:43:05,ethereum,1813.97,-0.06205
2025-05-06 00:43:05,tether,0.999915,-0.01475
2025-05-07 00:43:06,bitcoin,97174.0,2.85627
2025-05-07 00:43:06,ethereum,1836.42,1.30743
2025-05-07 00:43:06,tether,0.999963,0.00514
2025-05-08 00:43:34,bitcoin,96989.0,-0.2378
2025-05-08 00:43:35,ethereum,1812.2,-1.35211
2025-05-08 00:43:35,tether,1.0,0.01846
2025-05-09 00:43:15,bitcoin,102655.0,5.86866
2025-05-09 00:43:15,ethereum,2193.79,21.05901
2025-05-09 00:43:15,tether,0.999931,-0.02216
2025-05-10 00:41:10,bitcoin,102964.0,0.25022
2025-05-10 00:41:10,ethereum,2352.0,7.19862
2025-05-10 00:41:10,tether,1.0,0.0139
2025-05-11 00:46:43,bitcoin,104229.0,1.26873
2025-05-11 00:46:43,ethereum,2535.28,7.94744
2025-05-11 00:46:44,tether,1.0,-0.0028
2025-05-12 00:45:49,bitcoin,104460.0,0.22154
2025-05-12 00:45:49,ethereum,2533.9,-0.0543
2025-05-12 00:45:49,tether,1.0,0.01351
2025-05-13 00:43:41,bitcoin,102446.0,-1.90895
2025-05-13 00:43:41,ethereum,2467.09,-2.62351
2025-05-13 00:43:42,tether,1.0,-0.01722
2025-05-14 00:43:25,bitcoin,103949.0,1.53317
2025-05-14 00:43:25,ethereum,2689.1,9.06478
